Birth Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.045,7.506591780070841,3.7135578697211664,94.87567567567568,8.739536422559677,21.903013083027613,0.056,2.9444389791664403,5.713958861886928,0.09531017980432487,0.0,0.32786386208461277,42.0,42.0,0.0,1,0.457,0.515,0.027,16.12814320480795,0.348,18.020203192280615,18.440483381052466
0.032,9.538780436900131,3.7135578697211664,94.87567567567568,9.196849781793684,22.62387337489308,0.06416951983298538,6.687603594123967,5.713958861886928,0.05921185963184608,0.0,0.4180126979162183,44.0,44.0,0.0,1,0.422,0.545,0.034,16.341531399578738,0.338,18.643824303266577,22.27707153912607
0.05,6.661854740545311,3.7135578697211664,94.87567567567568,11.254644782971518,26.29866191722371,0.06416951983298538,6.687603594123967,5.713958861886928,0.09075436326846414,0.23974713551955748,0.13811071861565868,56.0,54.0,0.5781237682301931,1,0.495,0.485,0.02,16.840576414225037,0.213,22.320493557319537,22.27707153912607
0.013,8.150756470275551,3.7135578697211664,94.87567567567568,7.60887062919126,21.371187417373182,0.063,3.6888794541139363,5.713958861886928,0.02664193094642118,0.0,0.2745968329031255,75.0,68.0,0.0,1,0.259,0.641,0.1,14.939172793745154,0.647,17.76675429577647,17.840862266556567
0.015,10.292450580544786,3.7135578697211664,94.87567567567568,9.33229248272693,22.38579269804551,0.047,3.4339872044851463,5.713958861886928,0.05921185963184608,0.0,0.1798184265758361,70.0,64.0,0.1,1,0.311,0.633,0.056,15.901008845471843,0.514,18.035018277846262,18.742764250367856
0.027,10.235306120475993,3.7135578697211664,94.87567567567568,9.830486659651637,24.57606790102633,0.028,2.3978952727983707,5.713958861886928,0.06203539091945264,0.0,0.14410034397375687,66.0,65.0,0.0,1,0.37,0.59,0.041,18.70121180375123,0.236,17.72753358339242,19.970368654103833
0.028,5.993961427306569,3.7135578697211664,94.87567567567568,11.254644782971518,19.900370348009304,0.067,3.970291913552122,5.713958861886928,0.0573250666192694,0.0,0.14842000511827327,60.0,60.0,0.5781237682301931,1,0.406,0.556,0.038,13.243431677332234,0.254,16.118095750958314,22.27707153912607
0.023,8.783855896643942,3.7135578697211664,94.87567567567568,7.777373602657861,22.515217507535933,0.03,6.298949246855942,5.713958861886928,0.007968169649176874,0.1,0.053540766928029816,78.0,74.0,0.3,1,0.304,0.668,0.028,12.712293684447861,0.712,22.320493557319537,22.27707153912607
0.028,7.589841512182657,3.7135578697211664,94.87567567567568,8.135346948906706,22.01909697494118,0.063,2.995732273553991,5.713958861886928,0.07881118042428978,0.0,0.13811071861565868,65.0,59.0,0.0,1,0.408,0.554,0.038,16.3188195086437,0.186,19.659054977894186,17.76675429577647
0.014,15.040808653274839,3.7135578697211664,94.87567567567568,13.965097123765279,27.81207097940154,0.046,3.784189633918261,5.713958861886928,0.0295588022415444,0.0,0.0573250666192694,74.0,71.0,0.1,1,0.256,0.675,0.069,20.956474564796,0.359,23.575012260029762,23.374322316599077
